country,name,statutory_tax_rate,metr_overall,aetr_overall,metr_equity_overall,metr_debt_overall,metr_debt_bias,aetr_equity_overall,aetr_debt_overall,aetr_debt_bias,metr_machines,metr_buildings,metr_ip,metr_inventory,metr_land,aetr_machines,aetr_buildings,aetr_ip,aetr_inventory,aetr_land,weight
AUS,Australia,0.3,0.148,0.256,0.277,-0.272,0.549,0.292,0.188,0.104,0.149,0.138,0.026,0.233,0.18,0.256,0.253,0.23,0.278,0.264,0.022
AUT,Austria,0.25,0.146,0.22,0.25,-0.15,0.4,0.25,0.163,0.087,0.134,0.166,-0.053,0.232,0.146,0.217,0.225,0.178,0.244,0.22,0.008
BEL,Belgium,0.25,-0.253,0.143,-0.287,-0.195,-0.092,0.14,0.151,-0.011,-0.259,-0.237,-1.875,0.021,-0.123,0.149,0.152,-0.009,0.192,0.167,0.01
CAN,Canada,0.262,0.123,0.222,0.238,-0.221,0.459,0.254,0.163,0.091,-0.069,0.185,0.037,0.201,0.154,0.184,0.238,0.203,0.243,0.23,0.03
CHE,Switzerland,0.197,0.097,0.167,0.184,-0.129,0.314,0.191,0.122,0.069,0.111,0.119,-0.307,0.182,0.112,0.173,0.175,0.068,0.192,0.173,0.011
CHL,Chile,0.25,0.198,0.234,0.291,-0.057,0.348,0.264,0.177,0.087,0.292,0.166,0.188,0.191,0.146,0.265,0.225,0.231,0.232,0.22,0.008
COL,Colombia,0.3,0.2,0.269,0.315,-0.16,0.474,0.305,0.201,0.104,0.253,0.218,-0.148,0.233,0.18,0.284,0.274,0.203,0.278,0.264,0.012
CZE,Czech Republic,0.19,0.068,0.157,0.158,-0.161,0.319,0.181,0.114,0.066,0.013,0.05,0.14,0.143,0.107,0.145,0.153,0.175,0.176,0.167,0.007
DEU,Germany,0.299,0.204,0.269,0.304,-0.086,0.391,0.301,0.21,0.091,0.267,0.197,-0.113,0.292,0.197,0.288,0.267,0.207,0.297,0.267,0.074
DNK,Denmark,0.22,0.113,0.19,0.198,-0.104,0.302,0.213,0.147,0.067,0.139,0.11,-0.05,0.14,0.14,0.196,0.189,0.156,0.197,0.197,0.006
ESP,Spain,0.25,0.155,0.219,0.244,-0.08,0.324,0.245,0.17,0.074,0.185,0.161,-0.066,0.205,0.161,0.23,0.224,0.138,0.236,0.224,0.03
EST,Estonia,0.2,0.048,0.16,0.051,0.043,0.008,0.161,0.159,0.002,0.048,0.048,0.048,0.048,0.048,0.16,0.16,0.16,0.16,0.16,0.001
FIN,Finland,0.2,0.083,0.168,0.161,-0.108,0.269,0.188,0.131,0.058,0.037,0.093,-0.018,0.13,0.13,0.158,0.171,0.147,0.18,0.18,0.005
FRA,France,0.258,0.165,0.228,0.255,-0.079,0.334,0.255,0.178,0.077,0.3,0.103,-0.074,0.212,0.167,0.273,0.215,0.154,0.244,0.231,0.05
GBR,United Kingdom,0.25,0.18,0.225,0.264,-0.04,0.304,0.252,0.177,0.074,0.221,0.201,-0.044,0.161,0.161,0.241,0.235,0.142,0.224,0.224,0.049
GRC,Greece,0.21,0.125,0.186,0.204,-0.071,0.275,0.208,0.144,0.064,0.185,0.104,-0.024,0.17,0.133,0.202,0.181,0.153,0.198,0.188,0.005
HUN,Hungary,0.09,0.051,0.079,0.088,-0.024,0.112,0.088,0.061,0.027,0.049,0.069,-0.078,0.071,0.054,0.079,0.084,0.039,0.085,0.081,0.005
IRL,Ireland,0.125,0.059,0.106,0.116,-0.07,0.185,0.121,0.078,0.043,0.077,0.051,-0.006,0.092,0.068,0.112,0.106,0.077,0.116,0.11,0.008
ISL,Iceland,0.2,0.063,0.164,0.148,-0.149,0.296,0.185,0.124,0.061,0.017,0.058,-0.044,0.162,0.126,0.153,0.162,0.142,0.189,0.179,0
ISR,Israel,0.23,0.116,0.196,0.216,-0.162,0.378,0.224,0.144,0.08,0.191,0.101,-0.221,0.175,0.133,0.218,0.194,0.114,0.213,0.202,0.006
ITA,Italy,0.278,-0.104,0.189,-0.102,-0.106,0.004,0.189,0.188,0.001,-0.01,-0.139,-0.554,0.067,-0.086,0.207,0.187,0.107,0.222,0.194,0.008
JPN,Japan,0.297,0.23,0.275,0.315,-0.001,0.315,0.304,0.223,0.081,0.264,0.252,-0.049,0.257,0.208,0.286,0.282,0.215,0.284,0.269,0.095
KOR,Korea,0.275,0.105,0.224,0.217,-0.22,0.437,0.253,0.17,0.083,0.067,0.112,-0.33,0.269,0.179,0.219,0.229,0.119,0.273,0.246,0.04
LTU,Lithuania,0.15,0.015,0.112,0.082,-0.141,0.223,0.128,0.082,0.045,0.043,-0.012,-0.343,0.146,0.092,0.122,0.11,0.013,0.149,0.134,0.002
LUX,Luxembourg,0.249,0.148,0.214,0.239,-0.094,0.333,0.241,0.165,0.076,0.266,0.127,-0.558,0.243,0.161,0.255,0.214,0.055,0.247,0.223,0.001
LVA,Latvia,0.2,0.048,0.16,0.051,0.043,0.008,0.161,0.159,0.002,0.048,0.048,0.048,0.048,0.048,0.16,0.16,0.16,0.16,0.16,0.001
MEX,Mexico,0.3,0.155,0.257,0.282,-0.257,0.539,0.294,0.189,0.104,0.253,0.103,-0.07,0.233,0.18,0.284,0.245,0.214,0.278,0.264,0.041
NLD,Netherlands,0.25,0.138,0.214,0.23,-0.107,0.338,0.24,0.166,0.074,0.15,0.127,-0.023,0.244,0.161,0.221,0.215,0.143,0.248,0.224,0.017
NOR,Norway,0.22,0.129,0.194,0.208,-0.068,0.276,0.216,0.153,0.064,0.114,0.151,-0.02,0.144,0.144,0.19,0.2,0.161,0.198,0.198,0.006
NZL,New Zealand,0.28,0.208,0.257,0.311,-0.098,0.41,0.291,0.194,0.098,0.258,0.232,-0.063,0.216,0.166,0.273,0.264,0.199,0.26,0.246,0.004
POL,Poland,0.19,0.097,0.161,0.153,-0.031,0.184,0.176,0.134,0.043,0.135,0.099,-0.081,0.154,0.083,0.174,0.165,0.092,0.179,0.161,0.022
PRT,Portugal,0.315,-0.335,0.187,-0.383,-0.255,-0.128,0.183,0.195,-0.013,-0.318,-0.348,-1.802,-0.058,-0.17,0.195,0.192,0.052,0.227,0.211,0.006
SVK,Slovakia,0.21,0.117,0.181,0.196,-0.08,0.275,0.203,0.141,0.063,0.196,0.081,-0.054,0.17,0.133,0.206,0.175,0.121,0.198,0.188,0.003
SVN,Slovenia,0.19,0.087,0.162,0.174,-0.132,0.306,0.185,0.119,0.066,0.05,0.107,-0.037,0.143,0.107,0.153,0.167,0.135,0.176,0.167,0.001
SWE,Sweden,0.206,0.098,0.176,0.18,-0.105,0.285,0.198,0.136,0.062,0.102,0.102,-0.054,0.13,0.13,0.177,0.177,0.144,0.184,0.184,0.009
TUR,Turkey,0.22,0.032,0.169,0.091,-0.101,0.191,0.182,0.145,0.037,0.004,0.073,-0.154,0.067,0.017,0.166,0.18,0.11,0.179,0.168,0.044
USA,United States (Current Law),0.258,0.183,0.234,0.264,-0.026,0.29,0.259,0.187,0.071,0.164,0.19,0.138,0.258,0.175,0.23,0.237,0.209,0.258,0.233,0.356
USA_H,United States (House),0.309,0.224,0.28,0.316,-0.034,0.35,0.31,0.225,0.086,0.201,0.232,0.17,0.31,0.215,0.275,0.284,0.251,0.309,0.279,0
USA_B,United States (Biden),0.323,0.237,0.295,0.332,-0.037,0.369,0.327,0.237,0.09,0.212,0.244,0.195,0.324,0.226,0.288,0.297,0.284,0.324,0.292,0
OECD,OECD Average,0.26,0.154,0.228,0.24,-0.078,0.318,0.254,0.181,0.073,0.165,0.158,-0.035,0.222,0.157,0.234,0.231,0.179,0.249,0.23,0
USA_H1,United States (House),0.309,0.162,0.264,0.268,-0.147,0.415,0.294,0.208,0.086,-0.211,0.232,0.17,0.31,0.215,0.202,0.284,0.251,0.309,0.279,0
USA_H2,United States (House),0.309,0.151,0.261,0.26,-0.168,0.428,0.291,0.206,0.086,-0.211,0.232,0.019,0.31,0.215,0.202,0.284,0.218,0.309,0.279,0
USA_H3,United States (House),0.309,0.14,0.259,0.26,-0.23,0.49,0.291,0.198,0.093,-0.234,0.223,0.006,0.302,0.205,0.199,0.281,0.216,0.307,0.276,0
USA_H4,United States (House),0.309,0.14,0.258,0.259,-0.228,0.487,0.29,0.197,0.093,-0.234,0.223,0.006,0.302,0.205,0.199,0.281,0.204,0.307,0.276,0
USA_B1,United States (Biden),0.323,0.172,0.278,0.283,-0.16,0.443,0.309,0.219,0.09,-0.229,0.244,0.195,0.324,0.226,0.211,0.297,0.284,0.324,0.292,0
USA_B2,United States (Biden),0.323,0.16,0.275,0.273,-0.185,0.459,0.306,0.216,0.09,-0.229,0.244,0.023,0.324,0.226,0.211,0.297,0.247,0.324,0.292,0
USA_B3,United States (Biden),0.323,0.148,0.272,0.273,-0.254,0.528,0.306,0.208,0.098,-0.254,0.235,0.007,0.316,0.216,0.208,0.295,0.244,0.321,0.289,0
USA_B4,United States (Biden),0.323,0.148,0.269,0.272,-0.247,0.519,0.303,0.206,0.097,-0.254,0.235,0.006,0.316,0.216,0.208,0.295,0.213,0.321,0.289,0
USA_1,United States (Current Law),0.258,0.13,0.22,0.221,-0.111,0.332,0.245,0.174,0.071,-0.157,0.19,0.138,0.258,0.175,0.168,0.237,0.209,0.258,0.233,0
USA_2,United States (Current Law),0.258,0.121,0.218,0.214,-0.126,0.34,0.243,0.171,0.071,-0.157,0.19,0.015,0.258,0.175,0.168,0.237,0.182,0.258,0.233,0
USA_3,United States (Current Law),0.258,0.112,0.216,0.214,-0.17,0.384,0.243,0.165,0.078,-0.173,0.182,0.005,0.252,0.167,0.166,0.235,0.18,0.256,0.23,0
USA_4,United States (Current Law),0.258,0.112,0.215,0.213,-0.168,0.382,0.242,0.164,0.077,-0.173,0.182,0.004,0.252,0.167,0.166,0.235,0.17,0.256,0.23,0
